===== CommonEvents.rxdata =====  (Array 111 项, index 0 为 nil 占位)
   2| (code 0)               |
   1| Choices Branch         | 2 | 6
   2| Play SE                | menu_decision (vol=80, pitch=100)
   2| Control Variables      | 47 | 47 | 0 | 0 | 6
   2| (code 0)               |
   1| Choices Branch         | 3 | More
   2| Jump to Label          | picking start
   2| (code 0)               |
   1| Choices Cancel         |
   2| Play SE                | menu_cancel (vol=80, pitch=100)
   2| Exit Event Processing  |
   2| (code 0)               |
   1| Choices End            |
   1| (code 0)               |
   0| Choices Cancel         |
   1| Play SE                | menu_cancel (vol=80, pitch=100)
   1| Exit Event Processing  |
   1| (code 0)               |
   0| Choices End            |
   0| (code 0)               |

[CommonEvent 73] PLIGHT SKIP
  trigger=0 switch_id=1
   0| Play SE                | menu_decision (vol=80, pitch=100)
   0| Conditional Branch     | 12 | Script.check_bruteforce
   1| Call Script            | Script.start_bruteforce
   1| Show Text              | Lamplighter does not know the elevator code again.
   1| (code 0)               |
   0| Conditional Else       |
   1| Call Script            | Script.skip_bruteforce
   1| Show Text              | Lamplighter now knows the elevator code.
   1| (code 0)               |
   0| Conditional End        |
   0| (code 0)               |

[CommonEvent 74] 
  trigger=0 switch_id=1
   0| (code 0)               |

[CommonEvent 75] 
  trigger=0 switch_id=1
   0| (code 0)               |

[CommonEvent 76] 
  trigger=0 switch_id=1
   0| (code 0)               |

[CommonEvent 77] 
  trigger=0 switch_id=1
   0| (code 0)               |

[CommonEvent 78] 
  trigger=0 switch_id=1
   0| (code 0)               |

[CommonEvent 79] 
  trigger=0 switch_id=1
   0| (code 0)               |

[CommonEvent 80] CREDITS 1
  trigger=0 switch_id=1
   0| Show Text              | @credits Programming\nEliza Velasquez\nMichael Shirt
   0| Wait                   | 1
   0| (code 0)               |

[CommonEvent 81] CREDITS 2
  trigger=0 switch_id=1
   0| Show Text              | @credits Graphics\nNightmargin (Casey Gu)
   0| Wait                   | 1
   0| (code 0)               |

[CommonEvent 82] CREDITS 3
  trigger=0 switch_id=1
   0| Show Text              | @credits Character Design\nNightmargin
   0| Wait                   | 1
   0| Show Text              | @credits Maize and George's designs\nEliza Velasquez
   0| Wait                   | 1
   0| (code 0)               |

[CommonEvent 83] CREDITS 4
  trigger=0 switch_id=1
   0| Show Text              | @credits Soundtrack\nNightmargin
   0| Wait                   | 1
   0| Show Text              | @credits Additional tracks\nEliza Velasquez\nMichael Shirt
   0| Wait                   | 1
   0| (code 0)               |

[CommonEvent 84] CREDITS 5
  trigger=0 switch_id=1
   0| Show Text              | @credits Story (Mechanics Concept)\nEliza Velasquez
   0| Wait                   | 1
   0| Show Text              | @credits General Story and Worldbuilding\nNightmargin\nEliza Velasquez
   0| Wait                   | 1
   0| Show Text              | @credits Writing\nNightmargin\nEliza Velasquez\nMichael Shirt
   0| Wait                   | 1
   0| (code 0)               |

[CommonEvent 85] CREDITS 6
  trigger=0 switch_id=1
   0| Show Text              | @credits Producer\nMark Conforti
   0| Wait                   | 1
   0| Show Text              | @credits Official Testers\nJason Black\nSinNoAria\nOmer Oztas
   0| Wait                   | 1
   0| (code 0)               |

[CommonEvent 86] CREDITS 7
  trigger=0 switch_id=1
   0| Show Text              | @credits Special Thanks\n\lRedoplus \rPurpleAlmonds\n\lSaniblues \rFelixTheJudge\n
   0| Show Text              | @credits \lNoxid \rAlbatrosssoup\n\lSauraen \rStanhoff\n\lKalkie \rKitsiinabox
   0| Wait                   | 1
   0| Show Text              | @credits Testers of Original OneShot\n\lDolphinsAreEvil \rKyne\n\lTangyOranges \rletty\n
   0| Show Text              | @credits \lZeroGuilt \rMichael\n\lMraof \rpsychoTR2\n\lNekkowe \rDivinuss\n
   0| Show Text              | @credits \lM3ltd0wn \rFelix\n\lOutlanderSES \rplasterbrain
   0| Wait                   | 1
   0| Conditional Branch     | 12 | $persistent.langcode == 'ja'
   1| Show Text              | @credits 日本語編集\n櫛引茉莉子\nveneziowl
   1| Wait                   | 1
   1| (code 0)               |
   0| Conditional End        |
   0| (code 0)               |

[CommonEvent 87] 
  trigger=0 switch_id=1
   0| (code 0)               |

[CommonEvent 88] 
  trigger=0 switch_id=1
   0| (code 0)               |

[CommonEvent 89] 
  trigger=0 switch_id=1
   0| (code 0)               |

[CommonEvent 90] 
  trigger=0 switch_id=1
   0| Show Picture           | 1 | vision_rue1 | 0 | 0 | 0 | 0 | 200 | 200 | 255 | 0
   0| Show Picture           | 2 | vision_rue2 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Show Picture           | 3 | vision_rue3 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Play SE                | tv_static (vol=100, pitch=120)
   0| Wait                   | 2
   0| Stop SE                | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 243 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 230 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 217 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 205 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 192 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 180 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 167 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 155 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 142 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 130 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 117 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 105 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 92 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 80 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 67 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 55 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 42 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 30 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 17 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Scroll Picture         | 1
   0| Scroll Picture         | 2
   0| Scroll Picture         | 3
   0| Wait                   | 45
   0| Show Text              | @niko_shock \|...\.\....
   0| Wait                   | 20
   0| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e28b680e8 @list=[#<RPG::MoveCommand:0x0000022e28b68098 @parameters=[], @code=16>, #<RPG::MoveCommand:0x0000022e28b68048 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   0| (code 509)             | #<RPG::MoveCommand:0x0000022e28b68098 @parameters=[], @code=16>
   0| Wait                   | 20
   0| Show Text              | @niko_speak \p! Did you see what happened?
   0| Text Options           | 1 | 1
   0| Show Text              |
   0| Show Choices           | Yeah? | 0
   0| Choices Branch         | 0 | Yeah?
   1| Text Options           | 2 | 0
   1| (code 0)               |
   0| Choices End            |
   0| Show Text              | @niko_eyeclosed My vision went blank for a second...\>\n\@niko_speak And then I saw something?
   0| Show Text              | @niko Like a really short dream...
   0| Wait                   | 20
   0| Show Text              | @niko_eyeclosed I wonder what that was about...
   0| Wait                   | 20
   0| Play BGM               | SimpleSecrets (vol=100, pitch=100)
   0| Control Switches       | 109 | 109 | 0
   0| (code 0)               |

[CommonEvent 91] ACHV: chaotic evil
  trigger=0 switch_id=1
   0| Call Script            | Steam.unlock 'CHAOTIC_EVIL'
   0| (code 0)               |

[CommonEvent 92] ACHV: shock
  trigger=0 switch_id=1
   0| Call Script            | Steam.unlock 'SHOCK'
   0| (code 0)               |

[CommonEvent 93] ACHV: extreme bartering
  trigger=0 switch_id=1
   0| Call Script            | Steam.unlock 'EXTREME_BARTERING'
   0| (code 0)               |

[CommonEvent 94] ACHV: ram whisperer
  trigger=0 switch_id=1
   0| Call Script            | Steam.unlock 'RAM_WHISPERER'
   0| (code 0)               |

[CommonEvent 95] ACHV: pancakes
  trigger=0 switch_id=1
   0| Call Script            | Steam.unlock 'PANCAKES'
   0| (code 0)               |

[CommonEvent 96] ACHV: we ride at dawn
  trigger=0 switch_id=1
   0| Call Script            | Steam.unlock 'WE_RIDE_AT_DAWN'
   0| (code 0)               |

[CommonEvent 97] ACHV: secret
  trigger=0 switch_id=1
   0| Call Script            | Steam.unlock 'SECRET'
   0| (code 0)               |

[CommonEvent 98] ACHV: bookworm
  trigger=0 switch_id=1
   0| Call Script            | Steam.unlock 'BOOKWORM'
   0| (code 0)               |

[CommonEvent 99] ACHV: rebirth
  trigger=0 switch_id=1
   0| Call Script            | Steam.unlock 'REBIRTH'
   0| (code 0)               |

[CommonEvent 100] ACHV: oneshot
  trigger=0 switch_id=1
   0| Call Script            | Steam.unlock 'ONESHOT'
   0| (code 0)               |

[CommonEvent 101] ACHV: return
  trigger=0 switch_id=1
   0| Call Script            | Steam.unlock 'RETURN'
   0| (code 0)               |

[CommonEvent 102] extreme bartering check
  trigger=0 switch_id=1
   0| Conditional Branch     | 0 | 126 | 0
   1| Conditional Branch     | 0 | 127 | 0
   2| Conditional Branch     | 0 | 128 | 0
   3| Conditional Branch     | 0 | 129 | 0
   4| Conditional Branch     | 0 | 130 | 0
   5| Conditional Branch     | 0 | 131 | 0
   6| Conditional Branch     | 0 | 132 | 0
   7| Conditional Branch     | 0 | 133 | 0
   8| Call Common Event      | 93
   8| (code 0)               |
   7| Conditional End        |
   7| (code 0)               |
   6| Conditional End        |
   6| (code 0)               |
   5| Conditional End        |
   5| (code 0)               |
   4| Conditional End        |
   4| (code 0)               |
   3| Conditional End        |
   3| (code 0)               |
   2| Conditional End        |
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Conditional End        |
   0| (code 0)               |

[CommonEvent 103] bookworm check
  trigger=0 switch_id=1
   0| Conditional Branch     | 0 | 135 | 0
   1| Conditional Branch     | 0 | 136 | 0
   2| Conditional Branch     | 0 | 137 | 0
   3| Conditional Branch     | 0 | 138 | 0
   4| Conditional Branch     | 0 | 139 | 0
   5| Conditional Branch     | 0 | 140 | 0
   6| Conditional Branch     | 0 | 141 | 0
   7| Call Common Event      | 98
   7| (code 0)               |
   6| Conditional End        |
   6| (code 0)               |
   5| Conditional End        |
   5| (code 0)               |
   4| Conditional End        |
   4| (code 0)               |
   3| Conditional End        |
   3| (code 0)               |
   2| Conditional End        |
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Conditional End        |
   0| (code 0)               |

[CommonEvent 104] oneshot check
  trigger=0 switch_id=1
   0| Wait                   | 5
   0| Conditional Branch     | 0 | 142 | 1
   1| Call Common Event      | 100
   1| (code 0)               |
   0| Conditional End        |
   0| (code 0)               |

[CommonEvent 105] 
  trigger=0 switch_id=1
   0| (code 0)               |

[CommonEvent 106] square death sound
  trigger=0 switch_id=1
   0| Play SE                | square-death (vol=80, pitch=90)
   0| (code 0)               |

[CommonEvent 107] 
  trigger=0 switch_id=1
   0| (code 0)               |

[CommonEvent 108] 
  trigger=0 switch_id=1
   0| (code 0)               |

[CommonEvent 109] kill first square
  trigger=0 switch_id=1
   0| Conditional Branch     | 0 | 319 | 1
   1| Show Text              | @niko3 ...hey.
   1| Show Text              | @niko2 \p... did you see that?
   1| Show Text              | @niko4 The squares just...
   1| Control Switches       | 319 | 319 | 0
   1| (code 0)               |
   0| Conditional Else       |
   1| Conditional Branch     | 0 | 320 | 1
   2| Show Text              | @niko3 It just happened again...
   2| Show Text              | @niko2 I...\.\. think...\>\n\@niko6 Something is making them go away!
   2| Show Text              | @niko2 ...come on, let's try the rest.
   2| Control Switches       | 320 | 320 | 0
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Conditional End        |
   0| (code 0)               |

[CommonEvent 110] SQUARES BE GONE
  trigger=0 switch_id=1
   0| Show Picture           | 1 | white | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   0| Show Picture           | 2 | sun_rays | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 1
   0| Scroll Picture         | 3
   0| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e28ba4bd8 @list=[#<RPG::MoveCommand:0x0000022e28ba4b88 @parameters=["", 0, 2, 0], @code=41>, #<RPG::MoveCommand:0x0000022e28ba4b10 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   0| (code 509)             | #<RPG::MoveCommand:0x0000022e28ba4b88 @parameters=["", 0, 2, 0], @code=41>
   0| Control Switches       | 376 | 376 | 0
   0| Control Switches       | 377 | 377 | 0
   0| Control Switches       | 378 | 378 | 0
   0| Control Switches       | 379 | 379 | 0
   0| Control Switches       | 380 | 380 | 0
   0| Control Switches       | 381 | 381 | 0
   0| Control Switches       | 382 | 382 | 0
   0| Control Switches       | 383 | 383 | 0
   0| Control Switches       | 384 | 384 | 0
   0| Control Switches       | 385 | 385 | 0
   0| Transfer Player        | 0 | 257 | 30 | 20 | 0 | 0
   0| (code 0)               |
